Date,Market Cap,Volume,Open,Close
04-07-2021,"$4,311,193,129","$383,766,541",$0.00000867,$0.00000875
03-07-2021,"$4,150,954,164","$347,180,306",$0.00000835,$0.00000867
02-07-2021,"$4,164,920,297","$470,490,756",$0.00000837,$0.00000835
01-07-2021,"$4,390,145,203","$766,365,450",$0.00000882,$0.00000837
30-06-2021,"$4,467,885,724","$1,052,347,177",$0.00000894,$0.00000882
29-06-2021,"$4,025,118,337","$513,588,677",$0.00000808,$0.00000894
28-06-2021,"$3,874,565,548","$357,385,109",$0.00000779,$0.00000808
27-06-2021,"$3,707,598,607","$498,868,236",$0.00000745,$0.00000779
26-06-2021,"$3,552,907,385","$812,511,883",$0.00000715,$0.00000745
25-06-2021,"$3,595,717,159","$372,240,363",$0.00000722,$0.00000715
24-06-2021,"$3,412,702,377","$478,210,675",$0.00000684,$0.00000722
23-06-2021,"$3,141,205,472","$750,053,904",$0.00000633,$0.00000684
22-06-2021,"$3,134,183,949","$671,541,572",$0.00000621,$0.00000633
21-06-2021,"$3,897,271,704","$606,638,078",$0.00000783,$0.00000621
20-06-2021,"$3,790,099,545","$752,191,512",$0.00000762,$0.00000783
19-06-2021,"$3,605,740,988","$528,848,314",$0.00000724,$0.00000762
18-06-2021,"$3,946,752,601","$661,435,256",$0.00000800,$0.00000724
17-06-2021,"$4,104,422,756","$1,074,867,533",$0.00000826,$0.00000800
16-06-2021,"$4,548,448,224","$1,227,957,505",$0.00000912,$0.00000826
15-06-2021,"$3,532,986,583","$475,616,914",$0.00000710,$0.00000912
14-06-2021,"$3,408,709,378","$449,373,619",$0.00000685,$0.00000710
13-06-2021,"$3,161,693,186","$555,589,339",$0.00000628,$0.00000685
12-06-2021,"$3,067,958,029","$370,811,722",$0.00000619,$0.00000628
11-06-2021,"$3,429,539,203","$394,909,449",$0.00000686,$0.00000619
10-06-2021,"$3,700,442,105","$510,505,508",$0.00000740,$0.00000686
09-06-2021,"$3,661,436,763","$750,509,562",$0.00000735,$0.00000740
08-06-2021,"$3,832,054,423","$437,619,659",$0.00000765,$0.00000735
07-06-2021,"$4,255,489,410","$342,765,878",$0.00000854,$0.00000765
06-06-2021,"$4,166,769,446","$479,285,273",$0.00000838,$0.00000854
05-06-2021,"$4,374,018,940","$785,191,788",$0.00000880,$0.00000838
04-06-2021,"$4,937,150,381","$774,250,026",$0.00000986,$0.00000880
03-06-2021,"$4,709,358,311","$1,072,527,441",$0.00000946,$0.00000986
02-06-2021,"$4,464,666,536","$727,392,948",$0.00000888,$0.00000946
01-06-2021,"$4,694,241,780","$828,302,106",$0.00000943,$0.00000888
31-05-2021,"$3,909,372,298","$408,212,274",$0.00000786,$0.00000943
30-05-2021,"$3,998,713,019","$468,231,576",$0.00000794,$0.00000786
29-05-2021,"$3,954,791,526","$626,784,629",$0.00000793,$0.00000794
28-05-2021,"$4,384,079,886","$618,648,882",$0.00000880,$0.00000793
27-05-2021,"$4,740,235,577","$894,305,036",$0.00000955,$0.00000880
26-05-2021,"$4,710,375,730","$1,223,842,206",$0.00000941,$0.00000955
25-05-2021,"$5,282,047,508","$1,908,679,976",$0.00001061,$0.00000941
24-05-2021,"$4,034,145,305","$1,418,867,091",$0.00000820,$0.00001061
23-05-2021,"$4,219,549,160","$1,101,863,102",$0.00000847,$0.00000820
22-05-2021,"$4,033,060,183","$1,362,918,307",$0.00000817,$0.00000847
21-05-2021,"$4,735,115,501","$2,102,750,762",$0.00000944,$0.00000817
20-05-2021,"$4,754,289,551","$2,824,993,249",$0.00000946,$0.00000944
19-05-2021,"$7,816,162,275","$1,534,755,374",$0.00001577,$0.00000946
18-05-2021,"$8,315,642,450","$2,943,279,104",$0.00001643,$0.00001577
17-05-2021,"$8,896,984,976","$2,896,260,560",$0.00001793,$0.00001643
16-05-2021,"$7,827,138,286","$2,255,990,536",$0.00001564,$0.00001793
15-05-2021,$0.000000000000,"$2,519,900,222",$0.00001853,$0.00001564
14-05-2021,$0.000000000000,"$6,004,759,582",$0.00002104,$0.00001853
13-05-2021,$0.000000000000,"$6,103,353,722",$0.00001837,$0.00002104
12-05-2021,$0.000000000000,"$5,412,726,306",$0.00003078,$0.00001837
11-05-2021,$0.000000000000,"$14,553,569,937",$0.00003532,$0.00003078
10-05-2021,$0.000000000000,"$4,657,940,992",$0.00001569,$0.00003532
09-05-2021,$0.000000000000,"$9,322,917,735",$0.00001569,$0.00001569
08-05-2021,$0.000000000000,"$376,081,554",$0.00000275,$0.00001569
07-05-2021,$0.000000000000,"$28,123,898",$0.00000155,$0.00000275
06-05-2021,$0.000000000000,"$46,106,254",$0.00000172,$0.00000155
05-05-2021,$0.000000000000,"$63,315,853",$0.00000168,$0.00000172
04-05-2021,$0.000000000000,"$34,562,824",$0.00000159,$0.00000168
03-05-2021,$0.000000000000,"$56,355,620",$0.00000166,$0.00000159
02-05-2021,$0.000000000000,"$85,049,657",$0.00000191,$0.00000166
01-05-2021,$0.000000000000,"$141,539,796",$0.00000204,$0.00000191
30-04-2021,$0.000000000000,"$93,368,648",$0.00000140,$0.00000204
29-04-2021,$0.000000000000,"$163,490,141",$0.00000148,$0.00000140
28-04-2021,$0.000000000000,"$94,955,414",$0.000000975563,$0.00000148
27-04-2021,$0.000000000000,"$93,219,235",$0.00000118,$0.000000975563
26-04-2021,$0.000000000000,"$89,615,683",$0.00000131,$0.00000118
25-04-2021,$0.000000000000,"$81,640,806",$0.00000136,$0.00000131
24-04-2021,$0.000000000000,"$136,878,944",$0.00000122,$0.00000136
23-04-2021,$0.000000000000,"$200,743,421",$0.00000161,$0.00000122
22-04-2021,$0.000000000000,"$235,815,484",$0.00000128,$0.00000161
21-04-2021,$0.000000000000,"$448,958,541",$0.00000245,$0.00000128
20-04-2021,$0.000000000000,"$541,475,520",$0.00000362,$0.00000245
19-04-2021,$0.000000000000,"$175,494,502",$0.00000185,$0.00000362
18-04-2021,$0.000000000000,"$546,769,208",$0.00000194,$0.00000185
17-04-2021,$0.000000000000,"$177,924,991",$0.000000684175,$0.00000194
16-04-2021,$0.000000000000,"$16,304,508",$0.000000269092,$0.000000684175
15-04-2021,$0.000000000000,"$6,276,227",$0.000000167260,$0.000000269092
14-04-2021,$0.000000000000,"$11,698,691",$0.000000166008,$0.000000167260
13-04-2021,$0.000000000000,"$19,353,073",$0.000000179763,$0.000000166008
12-04-2021,$0.000000000000,"$7,098,841",$0.000000105208,$0.000000179763
11-04-2021,$0.000000000000,"$1,384,159",$0.000000082665,$0.000000105208
10-04-2021,$0.000000000000,"$647,120",$0.000000067605,$0.000000082665
09-04-2021,$0.000000000000,"$333,193",$0.000000060508,$0.000000067605
08-04-2021,$0.000000000000,"$787,774",$0.000000057585,$0.000000060508
07-04-2021,$0.000000000000,"$1,330,041",$0.000000062409,$0.000000057585
06-04-2021,$0.000000000000,"$1,234,322",$0.000000049428,$0.000000062409
05-04-2021,$0.000000000000,"$1,203,298",$0.000000044499,$0.000000049428
04-04-2021,$0.000000000000,"$814,952",$0.000000049394,$0.000000044499
03-04-2021,$0.000000000000,"$1,284,846",$0.000000050113,$0.000000049394
02-04-2021,$0.000000000000,"$1,129,777",$0.000000051116,$0.000000050113
01-04-2021,$0.000000000000,"$1,025,694",$0.000000060652,$0.000000051116
31-03-2021,$0.000000000000,"$839,659",$0.000000056990,$0.000000060652
30-03-2021,$0.000000000000,"$2,356,914",$0.000000065083,$0.000000056990
29-03-2021,$0.000000000000,"$1,451,472",$0.000000065824,$0.000000065083
28-03-2021,$0.000000000000,"$503,433",$0.000000039203,$0.000000065824
27-03-2021,$0.000000000000,"$627,521",$0.000000041844,$0.000000039203
26-03-2021,$0.000000000000,"$583,993",$0.000000042058,$0.000000041844
25-03-2021,$0.000000000000,"$547,245",$0.000000045921,$0.000000042058
24-03-2021,$0.000000000000,"$875,328",$0.000000044389,$0.000000045921
23-03-2021,$0.000000000000,"$1,437,355",$0.000000048738,$0.000000044389
22-03-2021,$0.000000000000,"$1,682,433",$0.000000056872,$0.000000048738
21-03-2021,$0.000000000000,"$1,115,914",$0.000000062140,$0.000000056872
20-03-2021,$0.000000000000,"$2,226,232",$0.000000062734,$0.000000062140
19-03-2021,$0.000000000000,"$1,435,551",$0.000000066804,$0.000000062734
18-03-2021,$0.000000000000,"$3,336,240",$0.000000068892,$0.000000066804
17-03-2021,$0.000000000000,"$4,449,519",$0.000000061377,$0.000000068892
16-03-2021,$0.000000000000,"$13,134,895",$0.000000087439,$0.000000061377
15-03-2021,$0.000000000000,"$41,011,373",$0.000000078289,$0.000000087439
14-03-2021,$0.000000000000,"$1,149,480",$0.000000022338,$0.000000078289
13-03-2021,$0.000000000000,"$539,378",$0.000000018264,$0.000000022338
12-03-2021,$0.000000000000,"$347,135",$0.000000017069,$0.000000018264
11-03-2021,$0.000000000000,"$288,803",$0.000000019823,$0.000000017069
10-03-2021,$0.000000000000,"$759,904",$0.000000022151,$0.000000019823
09-03-2021,$0.000000000000,"$619,527",$0.000000021629,$0.000000022151
08-03-2021,$0.000000000000,"$692,207",$0.000000017855,$0.000000021629
07-03-2021,$0.000000000000,"$446,522",$0.000000017741,$0.000000017855
06-03-2021,$0.000000000000,"$1,962,569",$0.000000019399,$0.000000017741
05-03-2021,$0.000000000000,"$3,527,427",$0.000000025610,$0.000000019399
04-03-2021,$0.000000000000,"$1,677,977",$0.000000022192,$0.000000025610
03-03-2021,$0.000000000000,"$636,068",$0.000000016608,$0.000000022192
02-03-2021,$0.000000000000,"$1,079,998",$0.000000013938,$0.000000016608
01-03-2021,$0.000000000000,"$3,282,663",$0.000000012385,$0.000000013938
28-02-2021,$0.000000000000,"$544,120",$0.000000008174,$0.000000012385
27-02-2021,$0.000000000000,"$169,261",$0.000000005963,$0.000000008174
26-02-2021,$0.000000000000,"$56,965",$0.000000005888,$0.000000005963
25-02-2021,$0.000000000000,"$70,427",$0.000000006120,$0.000000005888
24-02-2021,$0.000000000000,"$49,221",$0.000000005864,$0.000000006120
23-02-2021,$0.000000000000,"$141,786",$0.000000006689,$0.000000005864
22-02-2021,$0.000000000000,"$142,386",$0.000000007280,$0.000000006689
21-02-2021,$0.000000000000,"$284,290",$0.000000007045,$0.000000007280
20-02-2021,$0.000000000000,"$138,150",$0.000000007067,$0.000000007045
19-02-2021,$0.000000000000,"$103,601",$0.000000007749,$0.000000007067
18-02-2021,$0.000000000000,"$161,256",$0.000000007626,$0.000000007749
17-02-2021,$0.000000000000,"$279,333",$0.000000006665,$0.000000007626
16-02-2021,$0.000000000000,"$216,034",$0.000000007706,$0.000000006665
15-02-2021,$0.000000000000,"$356,724",$0.000000007120,$0.000000007706
14-02-2021,$0.000000000000,"$267,284",$0.000000008347,$0.000000007120
13-02-2021,$0.000000000000,"$408,893",$0.000000008903,$0.000000008347
12-02-2021,$0.000000000000,"$607,690",$0.000000008835,$0.000000008903
11-02-2021,$0.000000000000,"$973,137",$0.000000009886,$0.000000008835
10-02-2021,$0.000000000000,"$987,090",$0.000000008835,$0.000000009886
09-02-2021,$0.000000000000,"$4,471,910",$0.000000010885,$0.000000008835
08-02-2021,$0.000000000000,"$1,591,961",$0.000000007855,$0.000000010885
07-02-2021,$0.000000000000,"$618,909",$0.000000008264,$0.000000007855
06-02-2021,$0.000000000000,"$1,028,037",$0.000000007803,$0.000000008264
05-02-2021,$0.000000000000,"$1,453,877",$0.000000010793,$0.000000007803
04-02-2021,$0.000000000000,"$2,232,391",$0.000000013709,$0.000000010793
03-02-2021,$0.000000000000,"$6,684,971",$0.000000016149,$0.000000013709
02-02-2021,$0.000000000000,"$8,057,189",$0.000000010983,$0.000000016149
01-02-2021,$0.000000000000,"$34,956,952",$0.000000029100,$0.000000010983
31-01-2021,$0.000000000000,"$10,989,782",$0.000000005053,$0.000000029100
30-01-2021,$0.000000000000,$516.36,$0.000000000143,$0.000000005053
29-01-2021,$0.000000000000,$13.37,$0.000000000138,$0.000000000143
28-01-2021,$0.000000000000,$39.23,$0.000000000131,$0.000000000138
27-01-2021,$0.000000000000,$130.95,$0.000000000138,$0.000000000131
26-01-2021,$0.000000000000,$500.43,$0.000000000144,$0.000000000138
25-01-2021,$0.000000000000,$0.132553,$0.000000000133,$0.000000000144
24-01-2021,$0.000000000000,$19.87,$0.000000000125,$0.000000000133
23-01-2021,$0.000000000000,$52.53,$0.000000000127,$0.000000000125
22-01-2021,$0.000000000000,$52.53,$0.000000000127,$0.000000000127
21-01-2021,$0.000000000000,$0.133702,$0.000000000135,$0.000000000127
20-01-2021,$0.000000000000,$7.78,$0.000000000139,$0.000000000135
19-01-2021,$0.000000000000,$43.23,$0.000000000122,$0.000000000139
18-01-2021,$0.000000000000,$47.16,$0.000000000123,$0.000000000122
17-01-2021,$0.000000000000,"$1,229.34",$0.000000000126,$0.000000000123
16-01-2021,$0.000000000000,$642.81,$0.000000000130,$0.000000000126
15-01-2021,$0.000000000000,$599.55,$0.000000000127,$0.000000000130
14-01-2021,$0.000000000000,$599.55,$0.000000000127,$0.000000000127
13-01-2021,$0.000000000000,$124.69,$0.000000000110,$0.000000000127
12-01-2021,$0.000000000000,$66.15,$0.000000000114,$0.000000000110
11-01-2021,$0.000000000000,$203.35,$0.000000000133,$0.000000000114
10-01-2021,$0.000000000000,$201.44,$0.000000000134,$0.000000000133
09-01-2021,$0.000000000000,$201.44,$0.000000000134,$0.000000000134
07-01-2021,$0.000000000000,$0.119837,$0.000000000120,$0.000000000134
06-01-2021,$0.000000000000,$16.71,$0.000000000111,$0.000000000120
05-01-2021,$0.000000000000,$16.71,$0.000000000111,$0.000000000111
04-01-2021,$0.000000000000,$1.74,$0.000000000095,$0.000000000111
03-01-2021,$0.000000000000,$76.49,$0.000000000080,$0.000000000095
02-01-2021,$0.000000000000,$76.49,$0.000000000080,$0.000000000080
01-01-2021,$0.000000000000,$0.00037023,$0.000000000077,$0.000000000080
31-12-2020,$0.000000000000,$0.00037023,$0.000000000077,$0.000000000077
30-12-2020,$0.000000000000,$118.44,$0.000000000076,$0.000000000077
29-12-2020,$0.000000000000,$74.33,$0.000000000078,$0.000000000076
28-12-2020,$0.000000000000,$216.07,$0.000000000073,$0.000000000078
27-12-2020,$0.000000000000,$8.99,$0.000000000065,$0.000000000073
26-12-2020,$0.000000000000,$8.99,$0.000000000065,$0.000000000065
21-12-2020,$0.000000000000,$3.33,$0.000000000067,$0.000000000065
20-12-2020,$0.000000000000,$13.25,$0.000000000067,$0.000000000067
19-12-2020,$0.000000000000,$13.25,$0.000000000067,$0.000000000067
16-12-2020,$0.000000000000,$55.42,$0.000000000061,$0.000000000067
15-12-2020,$0.000000000000,$341.48,$0.000000000060,$0.000000000061
14-12-2020,$0.000000000000,$20.59,$0.000000000061,$0.000000000060
13-12-2020,$0.000000000000,$5.96,$0.000000000059,$0.000000000061
12-12-2020,$0.000000000000,$71.25,$0.000000000057,$0.000000000059
11-12-2020,$0.000000000000,$71.25,$0.000000000057,$0.000000000057
09-12-2020,$0.000000000000,$20.54,$0.000000000060,$0.000000000057
08-12-2020,$0.000000000000,$20.54,$0.000000000060,$0.000000000060
07-12-2020,$0.000000000000,$6.32,$0.000000000063,$0.000000000060
06-12-2020,$0.000000000000,$11.77,$0.000000000062,$0.000000000063
05-12-2020,$0.000000000000,$38.66,$0.000000000064,$0.000000000062
04-12-2020,$0.000000000000,$38.66,$0.000000000064,$0.000000000064
02-12-2020,$0.000000000000,$123.13,$0.000000000064,$0.000000000064
01-12-2020,$0.000000000000,$150.36,$0.000000000063,$0.000000000064
30-11-2020,$0.000000000000,$7.68,$0.000000000061,$0.000000000063
29-11-2020,$0.000000000000,"$1,274.13",$0.000000000058,$0.000000000061
28-11-2020,$0.000000000000,$8.79,$0.000000000067,$0.000000000058
27-11-2020,$0.000000000000,$8.79,$0.000000000067,$0.000000000067
23-11-2020,$0.000000000000,$78.14,$0.000000000068,$0.000000000067
22-11-2020,$0.000000000000,$58.71,$0.000000000070,$0.000000000068
21-11-2020,$0.000000000000,$157.70,$0.000000000067,$0.000000000070
20-11-2020,$0.000000000000,$1.94,$0.000000000062,$0.000000000067
19-11-2020,$0.000000000000,$9.09,$0.000000000063,$0.000000000062
18-11-2020,$0.000000000000,$8.54,$0.000000000063,$0.000000000063
17-11-2020,$0.000000000000,$36.57,$0.000000000060,$0.000000000063
16-11-2020,$0.000000000000,$9.74,$0.000000000058,$0.000000000060
15-11-2020,$0.000000000000,$135.46,$0.000000000060,$0.000000000058
14-11-2020,$0.000000000000,$682.58,$0.000000000063,$0.000000000060
13-11-2020,$0.000000000000,"$1,253.92",$0.000000000067,$0.000000000063
12-11-2020,$0.000000000000,"$1,253.92",$0.000000000067,$0.000000000067
10-11-2020,$0.000000000000,$62.36,$0.000000000078,$0.000000000067
09-11-2020,$0.000000000000,$62.36,$0.000000000078,$0.000000000078
07-11-2020,$0.000000000000,$10.58,$0.000000000077,$0.000000000078
06-11-2020,$0.000000000000,$197.36,$0.000000000072,$0.000000000077
05-11-2020,$0.000000000000,$35.89,$0.000000000070,$0.000000000072
04-11-2020,$0.000000000000,$419.00,$0.000000000067,$0.000000000070
03-11-2020,$0.000000000000,$640.82,$0.000000000070,$0.000000000067
02-11-2020,$0.000000000000,$0.937308,$0.000000000076,$0.000000000070
01-11-2020,$0.000000000000,$169.00,$0.000000000076,$0.000000000076
31-10-2020,$0.000000000000,$83.25,$0.000000000077,$0.000000000076
30-10-2020,$0.000000000000,$13.47,$0.000000000079,$0.000000000077
29-10-2020,$0.000000000000,$447.81,$0.000000000079,$0.000000000079
28-10-2020,$0.000000000000,$18.77,$0.000000000087,$0.000000000079
27-10-2020,$0.000000000000,"$1,123.76",$0.000000000084,$0.000000000087
26-10-2020,$0.000000000000,$4.42,$0.000000000086,$0.000000000084
25-10-2020,$0.000000000000,"$1,374.21",$0.000000000087,$0.000000000086
24-10-2020,$0.000000000000,$504.74,$0.000000000103,$0.000000000087
23-10-2020,$0.000000000000,$27.10,$0.000000000103,$0.000000000103
22-10-2020,$0.000000000000,$525.92,$0.000000000103,$0.000000000103
21-10-2020,$0.000000000000,$525.63,$0.000000000102,$0.000000000103
20-10-2020,$0.000000000000,$57.79,$0.000000000100,$0.000000000102
19-10-2020,$0.000000000000,$3.75,$0.000000000099,$0.000000000100
18-10-2020,$0.000000000000,$44.52,$0.000000000097,$0.000000000099
17-10-2020,$0.000000000000,$176.89,$0.000000000096,$0.000000000097
16-10-2020,$0.000000000000,$25.45,$0.000000000102,$0.000000000096
15-10-2020,$0.000000000000,$52.77,$0.000000000102,$0.000000000102
14-10-2020,$0.000000000000,"$1,160.17",$0.000000000103,$0.000000000102
13-10-2020,$0.000000000000,$110.00,$0.000000000107,$0.000000000103
12-10-2020,$0.000000000000,$10.30,$0.000000000103,$0.000000000107
11-10-2020,$0.000000000000,$302.92,$0.000000000103,$0.000000000103
10-10-2020,$0.000000000000,"$1,272.39",$0.000000000101,$0.000000000103
09-10-2020,$0.000000000000,$763.99,$0.000000000108,$0.000000000101
08-10-2020,$0.000000000000,"$5,192.55",$0.000000000099,$0.000000000108
07-10-2020,$0.000000000000,"$3,949.07",$0.000000000113,$0.000000000099
06-10-2020,$0.000000000000,"$2,491.97",$0.000000000118,$0.000000000113
05-10-2020,$0.000000000000,"$10,549.35",$0.000000000126,$0.000000000118
04-10-2020,$0.000000000000,"$6,997.60",$0.000000000125,$0.000000000126
03-10-2020,$0.000000000000,"$12,009.73",$0.000000000207,$0.000000000125
02-10-2020,$0.000000000000,$301.16,$0.000000000126,$0.000000000207
01-10-2020,$0.000000000000,$503.64,$0.000000000132,$0.000000000126
30-09-2020,$0.000000000000,$247.35,$0.000000000137,$0.000000000132
29-09-2020,$0.000000000000,$633.27,$0.000000000142,$0.000000000137
28-09-2020,$0.000000000000,"$2,555.20",$0.000000000146,$0.000000000142
27-09-2020,$0.000000000000,$250.52,$0.000000000120,$0.000000000146
